Carimbo de data/hora,Nome Completo,Idade ,Município,Trilha ,Gênero,Ocupação atual/Emprego:,Cor ou Raça,Grau de Escolaridade,Participou do Trilhas Anterior,Acesso a net e ao pc,Faixa de Renda Familiar,Motivo da Participação,Escola de Origem
2023/12/15 15:30:23,DESAFIO,17,Morros,Programação de Jogos,Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 15:41:49,DESAFIO,24,São Luís,Ciência de Dados,Feminino,A busca de emprego,Parda,Graduação Completa,Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 15:42:56,DESAFIO,21,São Luís,Ciência de Dados,Feminino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/15 15:48:06,DESAFIO,24,São Luís,Design e Experiência,Feminino,Autônomo,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Particular sem Fins Lucrativos
2023/12/15 15:49:53,DESAFIO,22,São Luís,Ciência de Dados,Feminino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/15 15:50:28,DESAFIO,23,São Luís,Programação (Back-end),Masculino,Empregado,Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 3.908 e R$ 5.209,Ter formação em uma das Trilhas,Particular (bolsista 100%)
2023/12/15 15:55:27,DESAFIO,22,São Luís,Ciência de Dados,Masculino,Empregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 2.606 e R$ 3.907,Ter formação em uma das Trilhas,Pública
2023/12/15 15:59:48,DESAFIO,23,São Luís,Programação (Front-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 16:01:14,DESAFIO,21,São Luís,Ciência de Dados,Masculino,Empregado,Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 16:05:26,DESAFIO,21,São José de Ribamar,Ciência de Dados,Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Graduação Incompleta (ou cursando),Não,Sim,Superior a R$ 7.000,Ter formação em uma das Trilhas,Pública
2023/12/15 16:24:51,DESAFIO,26,Paço do Lumiar,Programação (Front-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Particular sem Fins Lucrativos
2023/12/15 16:29:21,DESAFIO,30,São Luís,Programação (Back-end),Masculino,Empregado,Branca,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/15 16:37:06,DESAFIO,37,Rosário,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Povos originários,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 16:40:08,DESAFIO,17,São Luís,Design e Experiência,Feminino,A busca de emprego,Preta,Pós-Graduação Completa,Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/15 16:45:15,DESAFIO,18,Bacabal,Ciência de Dados,Feminino,A busca de emprego,Preta,Ens. Médio em Curso,Não,Sim,Entre R$ 1.303 e R$ 2.605,Receber ajuda financeira,Pública
2023/12/15 16:50:41,DESAFIO,22,Lago da Pedra,Programação (Back-end),Masculino,Desempregado,Parda,Graduação Completa,Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Particular (bolsista 100%)
2023/12/15 17:03:09,DESAFIO,18,São Luís,Programação (Back-end),Masculino,Nunca Trabalhei,Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 17:13:30,DESAFIO,27,São Luís,Programação (Back-end),Masculino,"Empregado, mas não na área tecnológica",Branca,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/15 17:17:34,DESAFIO,27,São Luís,Design e Experiência,Masculino,Empregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 2.606 e R$ 3.907,Mudança de carreira,Pública
2023/12/15 17:18:33,DESAFIO,22,São Luís,Ciência de Dados,Feminino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 17:21:19,DESAFIO,27,São José de Ribamar,Programação de Jogos,Feminino,Autônomo,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 17:23:30,DESAFIO,18,São Luís,Programação (Back-end),Feminino,Nunca Trabalhei,Branca,Ens. Médio Completo,Não,Sim,Entre R$ 3.908 e R$ 5.209,Conseguir um emprego,Pública
2023/12/15 17:24:47,DESAFIO,23,São Luís,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 2.606 e R$ 3.907,Ter formação em uma das Trilhas,Particular sem Fins Lucrativos
2023/12/15 17:33:12,DESAFIO,18,Rosário,Programação (Front-end),Masculino,Nunca Trabalhei,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 17:33:46,DESAFIO,28,São Luís,Ciência de Dados,Feminino,"Empregado, mas não na área tecnológica",Branca,Graduação Incompleta (ou cursando),Não,Sim,Superior a R$ 7.000,Mudança de carreira,Particular sem Fins Lucrativos
2023/12/15 17:49:39,DESAFIO,25,São Luís,Ciência de Dados,Masculino,Desempregado,Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Particular sem Fins Lucrativos
2023/12/15 17:54:23,DESAFIO,28,São Luís,Ciência de Dados,Feminino,"Empregado, mas não na área tecnológica",Branca,Graduação Incompleta (ou cursando),Não,Sim,Superior a R$ 7.000,Mudança de carreira,Particular sem Fins Lucrativos
2023/12/15 18:00:38,DESAFIO,18,Cachoeira Grande,Programação (Front-end),Masculino,Nunca Trabalhei,Parda,Ens. Médio em Curso,Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Pública
2023/12/15 18:08:09,DESAFIO,25,São José de Ribamar,Programação (Back-end),Masculino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 3.908 e R$ 5.209,Conseguir um emprego,Pública
2023/12/15 18:16:37,DESAFIO,18,Rosário,Design e Experiência,Feminino,A busca de emprego,Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 18:37:52,DESAFIO,17,Cidelândia,Design e Experiência,Masculino,Autônomo,Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 18:43:33,DESAFIO,23,São Luís,Programação (Front-end),Masculino,Autônomo,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 3.908 e R$ 5.209,Ter formação em uma das Trilhas,Particular sem Fins Lucrativos
2023/12/15 18:45:10,DESAFIO,37,São Luís,Ciência de Dados,Masculino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 18:49:27,DESAFIO,26,São José de Ribamar,Design e Experiência,Feminino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Mudança de carreira,Pública
2023/12/15 19:06:20,DESAFIO,22,Pinheiro,Programação (Back-end),Masculino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 19:07:29,DESAFIO,23,Paço do Lumiar,Ciência de Dados,Feminino,Autônomo,Branca,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 19:27:59,DESAFIO,18,Rosário,Design e Experiência,Feminino,A busca de emprego,Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 19:38:36,DESAFIO,17,São Luís,Programação (Front-end),Feminino,"Empregado, mas não na área tecnológica",Preta,Ens. Médio em Curso,Não,Não,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 19:45:35,DESAFIO,21,Paço do Lumiar,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Preta,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 19:47:48,DESAFIO,15,Caxias,Design e Experiência,Masculino,Desempregado,Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Receber ajuda financeira,Pública
2023/12/15 19:47:53,DESAFIO,28,Morros,Ciência de Dados,Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 19:50:39,DESAFIO,19,Barreirinhas,Programação (Front-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 19:51:09,DESAFIO,22,São Luís,Programação (Back-end),Masculino,Nunca Trabalhei,Parda,Graduação Incompleta (ou cursando),Não,Não,Até  R$ 1.302,Receber ajuda financeira,Pública
2023/12/15 19:55:54,DESAFIO,20,Pinheiro,Programação (Back-end),Feminino,Desempregado,Branca,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 20:14:56,DESAFIO,34,São José de Ribamar,Programação (Back-end),Masculino,Desempregado,Preta,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 20:19:10,DESAFIO,30,Icatu,Ciência de Dados,Masculino,A busca de emprego,Parda,Graduação Completa,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 20:19:12,DESAFIO,16,Barreirinhas,Programação de Jogos,Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 20:19:22,DESAFIO,20,São Luís,Ciência de Dados,Masculino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 20:22:11,DESAFIO,16,São Luís,Programação (Front-end),Feminino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 20:26:45,DESAFIO,17,Bacabeira,Design e Experiência,Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 20:39:09,DESAFIO,23,Paço do Lumiar,Ciência de Dados,Feminino,A busca de emprego,Preta,Graduação Completa,Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 20:48:47,DESAFIO,22,São Luís,Programação (Back-end),Masculino,Empregado,Preta,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 20:55:02,DESAFIO,18,São Luís,Programação (Front-end),Feminino,Nunca Trabalhei,Preta,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 21:11:03,DESAFIO,23,São Luís,Programação de Jogos,Feminino,Nunca Trabalhei,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Pública
2023/12/15 21:23:27,DESAFIO,19,São Luís,Programação (Back-end),Masculino,"Empregado, mas não na área tecnológica",Parda,Ens. Médio Completo,Não,Sim,Entre R$ 2.606 e R$ 3.907,Mudança de carreira,Pública
2023/12/15 21:37:52,DESAFIO,19,São Luís,Programação de Jogos,Masculino,A busca de emprego,Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 21:48:31,DESAFIO,26,São José de Ribamar,Design e Experiência,Feminino,Desempregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 21:55:08,DESAFIO,28,São Luís,Ciência de Dados,Masculino,Autônomo,Branca,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 22:07:00,DESAFIO,38,São Luís,Programação (Front-end),Feminino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 22:19:14,DESAFIO,36,Alcântara,Design e Experiência,Masculino,Desempregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 22:19:42,DESAFIO,28,São Luís,Ciência de Dados,Masculino,Autônomo,Parda,Graduação Completa,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 22:41:53,DESAFIO,30,São Luís,Ciência de Dados,Feminino,A busca de emprego,Preta,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 22:57:01,DESAFIO,18,Morros,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio em Curso,Não,Não,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 23:19:26,DESAFIO,17,Raposa,Design e Experiência,Masculino,A busca de emprego,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/15 23:33:15,DESAFIO,19,Paulino Neves,Design e Experiência,Feminino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 00:13:10,DESAFIO,19,São Luís,Design e Experiência,Feminino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 00:23:50,DESAFIO,16,Raposa,Programação de Jogos,Masculino,A busca de emprego,Parda,Ens. Médio em Curso,Não,Não,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 00:43:26,DESAFIO,25,São Luís,Design e Experiência,Masculino,"Empregado, mas não na área tecnológica",Parda,Graduação Completa,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/16 00:53:37,DESAFIO,21,Lago do Junco,Programação (Front-end),Feminino,Nunca Trabalhei,Branca,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 00:58:21,DESAFIO,26,Timon,Programação de Jogos,Masculino,Empregado,Preta,Graduação Completa,Não,Sim,Até  R$ 1.302,Mudança de carreira,Pública
2023/12/16 02:08:40,DESAFIO,24,São Luís,Ciência de Dados,Masculino,Empregado,Preta,Graduação Completa,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 02:48:08,DESAFIO,23,São Luís,Ciência de Dados,Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Particular sem Fins Lucrativos
2023/12/16 04:30:48,DESAFIO,24,São Luís,Design e Experiência,Masculino,Autônomo,Preta,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 06:21:31,DESAFIO,20,São Luís,Design e Experiência,Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/16 07:35:54,DESAFIO,18,São Luís,Ciência de Dados,Feminino,"Empregado, mas não na área tecnológica",Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 08:57:33,DESAFIO,16,Nova Olinda do Maranhão,Programação (Back-end),Masculino,Desempregado,Parda,Ens. Médio em Curso,Não,Sim,Entre R$ 5.210 e R$ 6.511,Mudança de carreira,Pública
2023/12/16 09:30:20,DESAFIO,22,São Luís,Programação (Back-end),Masculino,Autônomo,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/16 09:39:28,DESAFIO,24,Porto Rico do Maranhão,Programação (Front-end),Masculino,"Empregado, mas não na área tecnológica",Parda,Graduação Completa,Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Pública
2023/12/16 09:42:49,DESAFIO,18,São Luís,Programação (Front-end),Masculino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/16 09:50:45,DESAFIO,22,São Luís,Programação (Front-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 3.908 e R$ 5.209,Mudança de carreira,Pública
2023/12/16 10:23:51,DESAFIO,18,Santa Rita,Programação de Jogos,Masculino,Desempregado,Branca,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 10:49:19,DESAFIO,17,São Luís,Programação (Back-end),Masculino,A busca de emprego,Parda,Ens. Médio em Curso,Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/16 11:07:58,DESAFIO,27,São Luís,Programação (Front-end),Masculino,Autônomo,Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 11:21:35,DESAFIO,17,São Luís,Programação (Back-end),Feminino,Nunca Trabalhei,Branca,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 11:34:27,DESAFIO,43,Imperatriz,Ciência de Dados,Masculino,A busca de emprego,Povos originários,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 11:34:38,DESAFIO,19,São José de Ribamar,Design e Experiência,Masculino,A busca de emprego,Preta,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Pública
2023/12/16 11:46:25,DESAFIO,23,São Luís,Programação (Back-end),Masculino,Desempregado,Branca,Graduação Completa,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/16 12:02:15,DESAFIO,21,Barreirinhas,Design e Experiência,Feminino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 12:26:33,DESAFIO,26,São Luís,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Pós-Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 12:27:52,DESAFIO,25,Nova Olinda do Maranhão,Ciência de Dados,Feminino,Desempregado,Branca,Graduação Completa,Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Pública
2023/12/16 12:46:26,DESAFIO,20,São Luís,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 3.908 e R$ 5.209,Ter formação em uma das Trilhas,Pública
2023/12/16 12:56:39,DESAFIO,26,São Luís,Programação (Back-end),Masculino,Desempregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/16 12:57:40,DESAFIO,22,Paço do Lumiar,Programação (Front-end),Feminino,Empregado,Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/16 13:01:38,DESAFIO,29,São Luís,Programação (Back-end),Feminino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Particular sem Fins Lucrativos
2023/12/16 13:22:08,DESAFIO,23,São Luís,Programação (Back-end),Feminino,Desempregado,Preta,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 13:31:17,DESAFIO,23,São Luís,Programação (Front-end),Masculino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 13:58:35,DESAFIO,23,São Luís,Programação (Front-end),Masculino,Empregado,Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 3.908 e R$ 5.209,Ter formação em uma das Trilhas,Particular sem Fins Lucrativos
2023/12/16 14:13:06,DESAFIO,18,São Luís,Programação (Back-end),Masculino,Nunca Trabalhei,Branca,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 14:38:33,DESAFIO,22,Viana,Ciência de Dados,Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 14:58:18,DESAFIO,16,São Luís,Ciência de Dados,Feminino,Desempregado,Parda,Ens. Médio em Curso,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Particular (bolsista 100%)
2023/12/16 15:00:10,DESAFIO,18,Presidente Juscelino,Programação (Front-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Ens. Médio em Curso,Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/16 15:17:33,DESAFIO,28,São Luís,Ciência de Dados,Masculino,Desempregado,Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Particular sem Fins Lucrativos
2023/12/16 15:21:52,DESAFIO,25,São Luís,Programação (Front-end),Masculino,A busca de emprego,Branca,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 15:26:40,DESAFIO,29,São Luís,Programação (Front-end),Feminino,"Não estou empregado, mas focando apenas nos estudos",Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 15:29:21,DESAFIO,18,São José de Ribamar,Programação (Back-end),Feminino,"Não estou empregado, mas focando apenas nos estudos",Preta,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/16 16:13:50,DESAFIO,27,São Luís,Ciência de Dados,Masculino,A busca de emprego,Parda,Pós-Graduação Completa,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 16:14:15,DESAFIO,18,Imperatriz,Design e Experiência,Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 16:29:41,DESAFIO,19,São Luís,Programação (Back-end),Masculino,A busca de emprego,Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 16:35:55,DESAFIO,19,São Luís,Programação (Front-end),Feminino,Desempregado,Preta,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/16 16:41:58,DESAFIO,20,Açailândia,Design e Experiência,Masculino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/16 17:18:50,DESAFIO,20,Trizidela do Vale,Ciência de Dados,Masculino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/16 17:19:29,DESAFIO,22,São José de Ribamar,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Particular sem Fins Lucrativos
